"name" "continent"
"Afghanistan" "Asia"
"Albania" "Europe"
"Algeria" "Africa"
"Andorra" "Europe"
"Angola" "Africa"
"Antigua and Barbuda" "Americas"
"Argentina" "Americas"
"Armenia" "Asia"
"Australia" "Oceania"
"Austria" "Europe"
"Azerbaijan" "Asia"
"Bahamas" "Americas"
"Bahrain" "Asia"
"Bangladesh" "Asia"
"Barbados" "Americas"
"Belarus" "Europe"
"Belgium" "Europe"
"Belize" "Americas"
"Benin" "Africa"
"Bhutan" "Asia"
"Bolivia" "Americas"
"Bosnia and Herzegovina" "Europe"
"Botswana" "Africa"
"Brazil" "Americas"
"Brunei" "Asia"
"Bulgaria" "Europe"
"Burkina Faso" "Africa"
"Burundi" "Africa"
"Cambodia" "Asia"
"Cameroon" "Africa"
"Canada" "Americas"
"Cape Verde" "Africa"
"Central African Republic" "Africa"
"Chad" "Africa"
"Chile" "Americas"
"China" "Asia"
"Colombia" "Americas"
"Comoros" "Africa"
"Congo, Dem. Rep." "Africa"
"Congo, Rep." "Africa"
"Costa Rica" "Americas"
"Cote d'Ivoire" "Africa"
"Croatia" "Europe"
"Cuba" "Americas"
"Cyprus" "Asia"
"Czech Republic" "Europe"
"Denmark" "Europe"
"Djibouti" "Africa"
"Dominica" "Americas"
"Dominican Republic" "Americas"
"Ecuador" "Americas"
"Egypt" "Africa"
"El Salvador" "Americas"
"Equatorial Guinea" "Africa"
"Eritrea" "Africa"
"Estonia" "Europe"
"Ethiopia" "Africa"
"Fiji" "Oceania"
"Finland" "Europe"
"France" "Europe"
"Gabon" "Africa"
"Gambia" "Africa"
"Georgia" "Asia"
"Germany" "Europe"
"Ghana" "Africa"
"Greece" "Europe"
"Grenada" "Americas"
"Guatemala" "Americas"
"Guinea" "Africa"
"Guinea-Bissau" "Africa"
"Guyana" "Americas"
"Haiti" "Americas"
"Honduras" "Americas"
"Hong Kong, China" "Asia"
"Hungary" "Europe"
"Iceland" "Europe"
"India" "Asia"
"Indonesia" "Asia"
"Iran" "Asia"
"Iraq" "Asia"
"Ireland" "Europe"
"Israel" "Asia"
"Italy" "Europe"
"Jamaica" "Americas"
"Japan" "Asia"
"Jordan" "Asia"
"Kazakhstan" "Asia"
"Kenya" "Africa"
"Kiribati" "Oceania"
"Kuwait" "Asia"
"Kyrgyz Republic" "Asia"
"Lao" "Asia"
"Latvia" "Europe"
"Lebanon" "Asia"
"Lesotho" "Africa"
"Liberia" "Africa"
"Libya" "Africa"
"Lithuania" "Europe"
"Luxembourg" "Europe"
"Macedonia, FYR" "Europe"
"Madagascar" "Africa"
"Malawi" "Africa"
"Malaysia" "Asia"
"Maldives" "Asia"
"Mali" "Africa"
"Malta" "Europe"
"Marshall Islands" "Oceania"
"Mauritania" "Africa"
"Mauritius" "Africa"
"Mexico" "Americas"
"Micronesia, Fed. Sts." "Oceania"
"Moldova" "Europe"
"Monaco" "Europe"
"Mongolia" "Asia"
"Montenegro" "Europe"
"Morocco" "Africa"
"Mozambique" "Africa"
"Myanmar" "Asia"
"Namibia" "Africa"
"Nauru" "Oceania"
"Nepal" "Asia"
"Netherlands" "Europe"
"New Zealand" "Oceania"
"Nicaragua" "Americas"
"Niger" "Africa"
"Nigeria" "Africa"
"North Korea" "Asia"
"Norway" "Europe"
"Oman" "Asia"
"Pakistan" "Asia"
"Palau" "Oceania"
"Palestine" "Asia"
"Panama" "Americas"
"Papua New Guinea" "Oceania"
"Paraguay" "Americas"
"Peru" "Americas"
"Philippines" "Asia"
"Poland" "Europe"
"Portugal" "Europe"
"Qatar" "Asia"
"Romania" "Europe"
"Russia" "Europe"
"Rwanda" "Africa"
"Samoa" "Oceania"
"San Marino" "Europe"
"Sao Tome and Principe" "Africa"
"Saudi Arabia" "Asia"
"Senegal" "Africa"
"Serbia" "Europe"
"Seychelles" "Africa"
"Sierra Leone" "Africa"
"Singapore" "Asia"
"Slovak Republic" "Europe"
"Slovenia" "Europe"
"Solomon Islands" "Oceania"
"Somalia" "Africa"
"South Africa" "Africa"
"South Korea" "Asia"
"South Sudan" "Africa"
"Spain" "Europe"
"Sri Lanka" "Asia"
"St. Kitts and Nevis" "Americas"
"St. Lucia" "Americas"
"St. Vincent and the Grenadines" "Americas"
"Sudan" "Africa"
"Suriname" "Americas"
"Swaziland" "Africa"
"Sweden" "Europe"
"Switzerland" "Europe"
"Syria" "Asia"
"Taiwan" "Asia"
"Tajikistan" "Asia"
"Tanzania" "Africa"
"Thailand" "Asia"
"Timor-Leste" "Asia"
"Togo" "Africa"
"Tonga" "Oceania"
"Trinidad and Tobago" "Americas"
"Tunisia" "Africa"
"Turkey" "Europe"
"Turkmenistan" "Asia"
"Tuvalu" "Oceania"
"Uganda" "Africa"
"Ukraine" "Europe"
"United Arab Emirates" "Asia"
"United Kingdom" "Europe"
"United States" "Americas"
"Uruguay" "Americas"
"Uzbekistan" "Asia"
"Vanuatu" "Oceania"
"Venezuela" "Americas"
"Vietnam" "Asia"
"Yemen" "Asia"
"Zambia" "Africa"
"Zimbabwe" "Africa"
